      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer     model       kin       csb       acc       rad      live      pion
   1.00000  10.60200   3.79246  21.03500   0.41936   5.35877   8.30000   0.79715   0.00757   0.00602   0.01318   0.01130   0.00100   0.00307   0.00064   0.00002   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.73166  21.03500   0.40899   5.27286   8.50000   0.79731   0.00741   0.00588   0.01321   0.01130   0.00100   0.00319   0.00065   0.00002   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.67086  21.03500   0.39879   5.18695   8.70000   0.80754   0.00739   0.00590   0.01326   0.01130   0.00100   0.00337   0.00068   0.00003   0.00018   0.00501   0.00287   0.00140
   1.00000  10.60200   5.91281  21.03500   0.93307   8.35483   1.32500   2.46682   0.04671   0.04654   0.00665   0.01130   0.00100   0.00722   0.00045   0.00000   0.00545   0.00662   0.00389   0.00140
   1.00000  10.60200   5.86721  21.03500   0.91699   8.29040   1.47500   0.99478   0.03108   0.03080   0.01551   0.01130   0.00100   0.00110   0.00205   0.00000   0.00373   0.00580   0.00389   0.00140
   1.00000  10.60200   5.82161  21.03500   0.90121   8.22597   1.62500   1.09457   0.02533   0.02505   0.01150   0.01130   0.00100   0.00365   0.00135   0.00000   0.00281   0.00538   0.00389   0.00140
   1.00000  10.60200   5.77601  21.03500   0.88573   8.16154   1.77500   0.89546   0.02173   0.02140   0.01440   0.01130   0.00100   0.00593   0.00122   0.00000   0.00224   0.00518   0.00389   0.00140
   1.00000  10.60200   5.73041  21.03500   0.87053   8.09711   1.92500   0.88077   0.01898   0.01859   0.01364   0.01130   0.00100   0.00497   0.00116   0.00000   0.00185   0.00509   0.00389   0.00140
   1.00000  10.60200   5.68481  21.03500   0.85561   8.03268   2.07500   0.84698   0.01691   0.01647   0.00951   0.01130   0.00100   0.00077   0.00182   0.00000   0.00158   0.00505   0.00389   0.00140
   1.00000  10.60200   5.63921  21.03500   0.84097   7.96824   2.22500   0.60458   0.01433   0.01383   0.01639   0.01130   0.00100   0.00340   0.00121   0.00000   0.00137   0.00503   0.00389   0.00140
   1.00000  10.60200   5.59361  21.03500   0.82659   7.90381   2.37500   0.72678   0.01337   0.01285   0.01620   0.01130   0.00100   0.00435   0.00109   0.00000   0.00121   0.00502   0.00389   0.00140
   1.00000  10.60200   5.54802  21.03500   0.81246   7.83938   2.52500   0.84834   0.01294   0.01239   0.01464   0.01130   0.00100   0.00816   0.00058   0.00000   0.00108   0.00502   0.00389   0.00140
   1.00000  10.60200   5.50242  21.03500   0.79859   7.77495   2.67500   0.80332   0.01204   0.01143   0.01269   0.01130   0.00100   0.00861   0.00067   0.00000   0.00097   0.00501   0.00389   0.00140
   1.00000  10.60200   5.45682  21.03500   0.78496   7.71052   2.82500   0.64933   0.01081   0.01014   0.01402   0.01130   0.00100   0.00487   0.00110   0.00000   0.00088   0.00501   0.00389   0.00140
   1.00000  10.60200   5.41122  21.03500   0.77157   7.64609   2.97500   0.64928   0.01009   0.00938   0.01491   0.01130   0.00100   0.00246   0.00114   0.00000   0.00081   0.00501   0.00389   0.00140
   1.00000  10.60200   5.36562  21.03500   0.75841   7.58166   3.12500   0.72391   0.00975   0.00900   0.01425   0.01130   0.00100   0.00297   0.00190   0.00000   0.00075   0.00500   0.00389   0.00140
   1.00000  10.60200   5.32002  21.03500   0.74547   7.51722   3.27500   0.76101   0.00941   0.00862   0.01363   0.01130   0.00100   0.00343   0.00040   0.00000   0.00069   0.00500   0.00389   0.00140
   1.00000  10.60200   5.27442  21.03500   0.73275   7.45279   3.42500   0.76632   0.00905   0.00821   0.01329   0.01130   0.00100   0.00330   0.00187   0.00000   0.00065   0.00500   0.00389   0.00140
   1.00000  10.60200   5.22882  21.03500   0.72025   7.38836   3.57500   0.74744   0.00863   0.00775   0.01353   0.01130   0.00100   0.00278   0.00161   0.00000   0.00060   0.00500   0.00389   0.00140
   1.00000  10.60200   5.18322  21.03500   0.70796   7.32393   3.72500   0.75058   0.00827   0.00735   0.01318   0.01130   0.00100   0.00226   0.00064   0.00000   0.00057   0.00500   0.00389   0.00140
   1.00000  10.60200   5.13763  21.03500   0.69587   7.25950   3.87500   0.74424   0.00797   0.00700   0.01303   0.01130   0.00100   0.00196   0.00090   0.00000   0.00054   0.00500   0.00389   0.00140
   1.00000  10.60200   5.09203  21.03500   0.68398   7.19507   4.02500   0.73132   0.00769   0.00670   0.01338   0.01130   0.00100   0.00187   0.00138   0.00000   0.00051   0.00500   0.00389   0.00140
   1.00000  10.60200   5.04643  21.03500   0.67228   7.13063   4.17500   0.73638   0.00744   0.00641   0.01318   0.01130   0.00100   0.00164   0.00086   0.00000   0.00048   0.00500   0.00389   0.00140
   1.00000  10.60200   5.00083  21.03500   0.66077   7.06620   4.32500   0.73477   0.00724   0.00617   0.01316   0.01130   0.00100   0.00114   0.00054   0.00000   0.00046   0.00500   0.00389   0.00140
   1.00000  10.60200   4.95523  21.03500   0.64944   7.00177   4.47500   0.73628   0.00701   0.00593   0.01319   0.01130   0.00100   0.00099   0.00146   0.00000   0.00043   0.00500   0.00389   0.00140
   1.00000  10.60200   4.90963  21.03500   0.63830   6.93734   4.62500   0.73591   0.00686   0.00574   0.01314   0.01130   0.00100   0.00090   0.00105   0.00000   0.00041   0.00500   0.00389   0.00140
   1.00000  10.60200   4.86403  21.03500   0.62733   6.87291   4.77500   0.73550   0.00667   0.00555   0.01324   0.01130   0.00100   0.00099   0.00132   0.00000   0.00040   0.00500   0.00389   0.00140
   1.00000  10.60200   4.81843  21.03500   0.61653   6.80848   4.92500   0.73876   0.00654   0.00540   0.01348   0.01130   0.00100   0.00212   0.00133   0.00000   0.00038   0.00500   0.00389   0.00140
   1.00000  10.60200   4.77283  21.03500   0.60590   6.74404   5.07500   0.74787   0.00643   0.00527   0.01335   0.01130   0.00100   0.00196   0.00174   0.00000   0.00036   0.00500   0.00389   0.00140
   1.00000  10.60200   4.72724  21.03500   0.59544   6.67961   5.22500   0.74904   0.00635   0.00518   0.01322   0.01130   0.00100   0.00153   0.00092   0.00000   0.00035   0.00500   0.00389   0.00140
   1.00000  10.60200   2.95992  24.98000   0.40940   5.87106   9.35000   0.80432   0.01367   0.01297   0.01394   0.01060   0.00100   0.00373   0.00288   0.00007   0.00017   0.00501   0.00561   0.00140
   1.00000  10.60200   2.88220  24.98000   0.39464   5.71691   9.65000   0.80887   0.01151   0.01069   0.01341   0.01060   0.00100   0.00219   0.00173   0.00009   0.00016   0.00502   0.00561   0.00140
   1.00000  10.60200   2.80448  24.98000   0.38017   5.56275   9.95000   0.80978   0.01048   0.00961   0.01325   0.01060   0.00100   0.00114   0.00147   0.00012   0.00015   0.00502   0.00561   0.00140
   1.00000  10.60200   2.72676  24.98000   0.36598   5.40859  10.25000   0.83161   0.00991   0.00900   0.01314   0.01060   0.00100   0.00064   0.00046   0.00016   0.00015   0.00503   0.00561   0.00140
   1.00000  10.60200   2.64904  24.98000   0.35208   5.25443  10.55000   0.82958   0.00949   0.00853   0.01315   0.01060   0.00100   0.00040   0.00075   0.00022   0.00014   0.00503   0.00561   0.00140
   1.00000  10.60200   2.57132  24.98000   0.33844   5.10028  10.85000   0.84244   0.00912   0.00809   0.01327   0.01060   0.00100   0.00171   0.00095   0.00029   0.00014   0.00504   0.00561   0.00140
   1.00000  10.60200   2.49360  24.98000   0.32507   4.94612  11.15000   0.83336   0.00864   0.00757   0.01334   0.01060   0.00100   0.00210   0.00098   0.00038   0.00013   0.00505   0.00561   0.00140
   1.00000  10.60200   2.41589  24.98000   0.31194   4.79196  11.45000   0.83660   0.00833   0.00721   0.01353   0.01060   0.00100   0.00231   0.00219   0.00051   0.00013   0.00507   0.00561   0.00140
   1.00000  10.60200   2.33817  24.98000   0.29907   4.63781  11.75000   0.85837   0.00805   0.00693   0.01350   0.01060   0.00100   0.00239   0.00184   0.00068   0.00012   0.00509   0.00561   0.00140
   1.00000  10.60200   3.53633  24.98000   0.52903   7.01440   7.12500   0.75359   0.01319   0.01236   0.01260   0.01060   0.00100   0.00115   0.00196   0.00001   0.00024   0.00500   0.00362   0.00140
   1.00000  10.60200   3.47157  24.98000   0.51462   6.88593   7.37500   0.76069   0.01147   0.01055   0.01246   0.01060   0.00100   0.00123   0.00046   0.00001   0.00023   0.00500   0.00362   0.00140
