      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   1.00000  10.60200   4.54146  21.03500   0.56425   6.41711   5.83612   0.74949   0.01279   0.01146   0.01255   0.01100   0.00100   0.00053   0.00000   0.00031   0.00500   0.00287   0.00140
   1.00000  10.60200   4.58078  21.03500   0.57285   6.47267   5.70677   0.75806   0.01322   0.01192   0.01255   0.01100   0.00100   0.00055   0.00000   0.00032   0.00500   0.00287   0.00140
   1.00000  10.60200   4.62010  21.03500   0.58156   6.52823   5.57743   0.74293   0.01350   0.01228   0.01255   0.01100   0.00100   0.00052   0.00000   0.00033   0.00500   0.00287   0.00140
   1.00000  10.60200   4.65942  21.03500   0.59039   6.58379   5.44808   0.76806   0.01410   0.01290   0.01255   0.01100   0.00100   0.00051   0.00000   0.00034   0.00500   0.00287   0.00140
   1.00000  10.60200   4.69874  21.03500   0.59934   6.63935   5.31874   0.74975   0.01451   0.01336   0.01255   0.01100   0.00100   0.00049   0.00000   0.00035   0.00500   0.00287   0.00140
   1.00000  10.60200   4.73806  21.03500   0.60841   6.69491   5.18939   0.74059   0.01498   0.01387   0.01255   0.01100   0.00100   0.00046   0.00000   0.00037   0.00500   0.00287   0.00140
   1.00000  10.60200   4.77738  21.03500   0.61760   6.75047   5.06005   0.74910   0.01565   0.01459   0.01255   0.01100   0.00100   0.00045   0.00000   0.00038   0.00500   0.00287   0.00140
   1.00000  10.60200   4.53677  21.03500   0.56323   6.41048   5.85156   0.75618   0.00638   0.00412   0.01283   0.01100   0.00100   0.00056   0.00000   0.00031   0.00500   0.00389   0.00140
   1.00000  10.60200   4.58689  21.03500   0.57420   6.48131   5.68666   0.75515   0.00643   0.00422   0.01283   0.01100   0.00100   0.00057   0.00000   0.00032   0.00500   0.00389   0.00140
   1.00000  10.60200   4.63702  21.03500   0.58535   6.55214   5.52175   0.75067   0.00650   0.00432   0.01283   0.01100   0.00100   0.00058   0.00000   0.00034   0.00500   0.00389   0.00140
   1.00000  10.60200   4.68716  21.03500   0.59669   6.62298   5.35685   0.74715   0.00655   0.00442   0.01283   0.01100   0.00100   0.00053   0.00000   0.00035   0.00500   0.00389   0.00140
   1.00000  10.60200   4.73729  21.03500   0.60823   6.69381   5.19194   0.74549   0.00661   0.00452   0.01283   0.01100   0.00100   0.00053   0.00000   0.00037   0.00500   0.00389   0.00140
   1.00000  10.60200   4.78741  21.03500   0.61997   6.76465   5.02704   0.74740   0.00670   0.00466   0.01283   0.01100   0.00100   0.00050   0.00000   0.00038   0.00500   0.00389   0.00140
   1.00000  10.60200   4.83754  21.03500   0.63191   6.83548   4.86213   0.74296   0.00678   0.00478   0.01283   0.01100   0.00100   0.00050   0.00000   0.00040   0.00500   0.00389   0.00140
   1.00000  10.60200   4.88768  21.03500   0.64405   6.90632   4.69722   0.74587   0.00691   0.00495   0.01282   0.01100   0.00100   0.00044   0.00000   0.00042   0.00500   0.00389   0.00140
   1.00000  10.60200   4.93781  21.03500   0.65642   6.97715   4.53232   0.73727   0.00703   0.00512   0.01282   0.01100   0.00100   0.00039   0.00000   0.00045   0.00500   0.00389   0.00140
   1.00000  10.60200   4.98794  21.03500   0.66900   7.04798   4.36741   0.73148   0.00721   0.00533   0.01282   0.01100   0.00100   0.00033   0.00000   0.00047   0.00500   0.00389   0.00140
   1.00000  10.60200   5.03806  21.03500   0.68182   7.11882   4.20251   0.73313   0.00740   0.00560   0.01282   0.01100   0.00100   0.00029   0.00000   0.00050   0.00500   0.00389   0.00140
   1.00000  10.60200   5.08819  21.03500   0.69486   7.18965   4.03761   0.72837   0.00754   0.00582   0.01283   0.01100   0.00100   0.00040   0.00000   0.00053   0.00500   0.00389   0.00140
   1.00000  10.60200   5.13832  21.03500   0.70814   7.26048   3.87270   0.73237   0.00779   0.00613   0.01283   0.01100   0.00100   0.00039   0.00000   0.00057   0.00500   0.00389   0.00140
   1.00000  10.60200   5.18845  21.03500   0.72167   7.33132   3.70780   0.72915   0.00803   0.00645   0.01283   0.01100   0.00100   0.00008   0.00000   0.00061   0.00500   0.00389   0.00140
   1.00000  10.60200   5.23858  21.03500   0.73546   7.40215   3.54289   0.73135   0.00833   0.00681   0.01283   0.01100   0.00100   0.00005   0.00000   0.00066   0.00500   0.00389   0.00140
   1.00000  10.60200   5.28871  21.03500   0.74950   7.47299   3.37798   0.75559   0.00865   0.00721   0.01283   0.01100   0.00100   0.00005   0.00000   0.00071   0.00500   0.00389   0.00140
   1.00000  10.60200   5.33885  21.03500   0.76381   7.54382   3.21308   0.75362   0.00902   0.00765   0.01284   0.01100   0.00100   0.00024   0.00000   0.00077   0.00501   0.00389   0.00140
   1.00000  10.60200   5.38898  21.03500   0.77840   7.61466   3.04817   0.72462   0.00952   0.00821   0.01285   0.01100   0.00100   0.00055   0.00000   0.00085   0.00501   0.00389   0.00140
   1.00000  10.60200   5.43911  21.03500   0.79327   7.68549   2.88327   0.61060   0.00998   0.00876   0.01286   0.01100   0.00100   0.00066   0.00000   0.00094   0.00501   0.00389   0.00140
   1.00000  10.60200   5.48923  21.03500   0.80843   7.75632   2.71836   0.74212   0.01058   0.00943   0.01288   0.01100   0.00100   0.00079   0.00000   0.00104   0.00501   0.00389   0.00140
   1.00000  10.60200   5.53937  21.03500   0.82389   7.82716   2.55346   0.86957   0.01128   0.01021   0.01291   0.01100   0.00100   0.00104   0.00000   0.00118   0.00502   0.00389   0.00140
   1.00000  10.60200   5.58950  21.03500   0.83966   7.89799   2.38855   0.79119   0.01217   0.01118   0.01301   0.01100   0.00100   0.00178   0.00000   0.00135   0.00503   0.00389   0.00140
   1.00000  10.60200   5.63963  21.03500   0.85575   7.96883   2.22365   0.61260   0.01313   0.01222   0.01335   0.01100   0.00100   0.00336   0.00000   0.00158   0.00505   0.00389   0.00140
   1.00000  10.60200   5.68975  21.03500   0.87217   8.03966   2.05874   0.82211   0.01427   0.01345   0.01427   0.01100   0.00100   0.00590   0.00000   0.00189   0.00510   0.00389   0.00140
   1.00000  10.60200   5.73988  21.03500   0.88892   8.11049   1.89384   0.89101   0.01583   0.01509   0.01517   0.01100   0.00100   0.00764   0.00000   0.00234   0.00521   0.00389   0.00140
   1.00000  10.60200   5.79001  21.03500   0.90603   8.18133   1.72893   0.98715   0.01805   0.01739   0.01501   0.01100   0.00100   0.00685   0.00000   0.00304   0.00547   0.00389   0.00140
   1.00000  10.60200   5.84014  21.03500   0.92349   8.25216   1.56403   0.96965   0.02042   0.01982   0.01655   0.01100   0.00100   0.00894   0.00000   0.00429   0.00606   0.00389   0.00140
