      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   1.00000  10.60200   2.82651  21.03500   0.27372   3.99388  11.47753   0.85517   0.01702   0.01586   0.01882   0.01100   0.00100   0.00033   0.00027   0.00013   0.00506   0.01011   0.00140
   1.00000  10.60200   2.85305  21.03500   0.27724   4.03138  11.39023   0.87904   0.01722   0.01607   0.01882   0.01100   0.00100   0.00037   0.00025   0.00013   0.00505   0.01011   0.00140
   1.00000  10.60200   2.87959  21.03500   0.28078   4.06888  11.30292   0.84942   0.01734   0.01622   0.01882   0.01100   0.00100   0.00034   0.00023   0.00013   0.00505   0.01011   0.00140
   1.00000  10.60200   2.90613  21.03500   0.28434   4.10638  11.21562   0.84230   0.01765   0.01654   0.01882   0.01100   0.00100   0.00034   0.00021   0.00013   0.00505   0.01011   0.00140
   1.00000  10.60200   2.93267  21.03500   0.28793   4.14388  11.12831   0.84867   0.01786   0.01676   0.01882   0.01100   0.00100   0.00035   0.00019   0.00013   0.00504   0.01011   0.00140
   1.00000  10.60200   2.95921  21.03500   0.29155   4.18138  11.04101   0.84187   0.01823   0.01715   0.01882   0.01100   0.00100   0.00036   0.00018   0.00013   0.00504   0.01011   0.00140
   1.00000  10.60200   2.98575  21.03500   0.29519   4.21888  10.95370   0.85125   0.01837   0.01733   0.01882   0.01100   0.00100   0.00033   0.00016   0.00014   0.00504   0.01011   0.00140
   1.00000  10.60200   3.01229  21.03500   0.29885   4.25638  10.86640   0.84541   0.01886   0.01781   0.01881   0.01100   0.00100   0.00031   0.00015   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.03883  21.03500   0.30254   4.29389  10.77909   0.83063   0.01912   0.01809   0.01881   0.01100   0.00100   0.00033   0.00014   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.06537  21.03500   0.30626   4.33139  10.69179   0.84536   0.01959   0.01858   0.01881   0.01100   0.00100   0.00032   0.00013   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.09191  21.03500   0.31000   4.36889  10.60449   0.83448   0.01984   0.01884   0.01881   0.01100   0.00100   0.00032   0.00012   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.11845  21.03500   0.31377   4.40639  10.51718   0.80184   0.02033   0.01934   0.01881   0.01100   0.00100   0.00033   0.00011   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.14499  21.03500   0.31757   4.44389  10.42988   0.82885   0.02070   0.01975   0.01881   0.01100   0.00100   0.00037   0.00010   0.00014   0.00502   0.01011   0.00140
   1.00000  10.60200   3.17153  21.03500   0.32139   4.48139  10.34257   0.82039   0.02125   0.02029   0.01881   0.01100   0.00100   0.00034   0.00009   0.00015   0.00502   0.01011   0.00140
   1.00000  10.60200   3.19807  21.03500   0.32525   4.51889  10.25527   0.83167   0.02140   0.02049   0.01881   0.01100   0.00100   0.00040   0.00008   0.00015   0.00502   0.01011   0.00140
   1.00000  10.60200   3.22461  21.03500   0.32912   4.55639  10.16796   0.80491   0.02200   0.02109   0.01881   0.01100   0.00100   0.00036   0.00008   0.00015   0.00502   0.01011   0.00140
   1.00000  10.60200   2.93582  21.03500   0.28836   4.14833  11.11795   0.85427   0.01054   0.00900   0.01342   0.01100   0.00100   0.00035   0.00019   0.00013   0.00504   0.00386   0.00140
   1.00000  10.60200   2.96826  21.03500   0.29279   4.19417  11.01124   0.84633   0.01063   0.00910   0.01342   0.01100   0.00100   0.00037   0.00017   0.00013   0.00504   0.00386   0.00140
   1.00000  10.60200   3.00070  21.03500   0.29725   4.24001  10.90453   0.84959   0.01076   0.00924   0.01342   0.01100   0.00100   0.00036   0.00015   0.00014   0.00504   0.00386   0.00140
   1.00000  10.60200   3.03314  21.03500   0.30175   4.28585  10.79781   0.85362   0.01083   0.00934   0.01342   0.01100   0.00100   0.00034   0.00014   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.06558  21.03500   0.30629   4.33168  10.69110   0.83955   0.01085   0.00937   0.01341   0.01100   0.00100   0.00031   0.00013   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.09802  21.03500   0.31087   4.37752  10.58439   0.84089   0.01094   0.00948   0.01341   0.01100   0.00100   0.00033   0.00011   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.13046  21.03500   0.31549   4.42336  10.47767   0.85695   0.01106   0.00961   0.01341   0.01100   0.00100   0.00035   0.00010   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.16290  21.03500   0.32015   4.46920  10.37096   0.84168   0.01111   0.00967   0.01341   0.01100   0.00100   0.00032   0.00009   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.19534  21.03500   0.32485   4.51504  10.26425   0.84013   0.01117   0.00976   0.01341   0.01100   0.00100   0.00039   0.00008   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.22778  21.03500   0.32959   4.56087  10.15753   0.83789   0.01141   0.01000   0.01341   0.01100   0.00100   0.00035   0.00008   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.26022  21.03500   0.33437   4.60671  10.05082   0.83240   0.01153   0.01016   0.01341   0.01100   0.00100   0.00036   0.00007   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.29266  21.03500   0.33920   4.65255   9.94411   0.83084   0.01161   0.01027   0.01341   0.01100   0.00100   0.00038   0.00006   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.32510  21.03500   0.34407   4.69839   9.83740   0.82176   0.01182   0.01048   0.01341   0.01100   0.00100   0.00032   0.00006   0.00016   0.00502   0.00386   0.00140
   1.00000  10.60200   3.35754  21.03500   0.34898   4.74422   9.73068   0.81929   0.01199   0.01070   0.01341   0.01100   0.00100   0.00039   0.00005   0.00016   0.00501   0.00386   0.00140
