 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.8900  16.0000   0.1640   2.3739  0.18023E+02  0.18023E+02  0.19890E-04  0.22672E+02  0.29462E-01  0.94718E+00  0.21696E+02  0.10000E+01
   10.6020   2.9000  16.0000   0.1648   2.3821  0.17986E+02  0.17986E+02  0.20075E-04  0.22586E+02  0.28826E-01  0.93257E+00  0.21625E+02  0.10000E+01
   10.6020   2.9100  16.0000   0.1656   2.3903  0.17950E+02  0.17950E+02  0.20261E-04  0.22500E+02  0.28205E-01  0.91811E+00  0.21553E+02  0.10000E+01
   10.6020   2.9200  16.0000   0.1664   2.3985  0.17913E+02  0.17913E+02  0.20446E-04  0.22414E+02  0.27603E-01  0.90393E+00  0.21482E+02  0.10000E+01
   10.6020   2.9300  16.0000   0.1672   2.4067  0.17877E+02  0.17877E+02  0.20445E-04  0.22328E+02  0.27004E-01  0.88987E+00  0.21411E+02  0.10000E+01
   10.6020   2.9400  16.0000   0.1680   2.4149  0.17841E+02  0.17841E+02  0.20631E-04  0.22243E+02  0.26423E-01  0.87576E+00  0.21341E+02  0.10000E+01
   10.6020   2.9500  16.0000   0.1687   2.4232  0.17805E+02  0.17805E+02  0.20817E-04  0.22158E+02  0.25855E-01  0.86105E+00  0.21271E+02  0.10000E+01
   10.6020   2.9600  16.0000   0.1695   2.4314  0.17769E+02  0.17769E+02  0.21003E-04  0.22075E+02  0.25298E-01  0.84848E+00  0.21201E+02  0.10000E+01
   10.6020   2.9700  16.0000   0.1703   2.4396  0.17733E+02  0.17733E+02  0.21002E-04  0.21993E+02  0.24753E-01  0.83698E+00  0.21131E+02  0.10000E+01
   10.6020   2.9800  16.0000   0.1711   2.4478  0.17697E+02  0.17697E+02  0.21189E-04  0.21910E+02  0.24220E-01  0.82387E+00  0.21062E+02  0.10000E+01
   10.6020   2.9900  16.0000   0.1719   2.4560  0.17662E+02  0.17662E+02  0.21375E-04  0.21829E+02  0.23700E-01  0.81117E+00  0.20994E+02  0.10000E+01
   10.6020   3.0000  16.0000   0.1727   2.4642  0.17626E+02  0.17626E+02  0.21562E-04  0.21746E+02  0.23188E-01  0.79870E+00  0.20924E+02  0.10000E+01
   10.6020   3.0100  16.0000   0.1735   2.4724  0.17591E+02  0.17591E+02  0.21562E-04  0.21666E+02  0.22687E-01  0.78664E+00  0.20856E+02  0.10000E+01
   10.6020   3.0200  16.0000   0.1743   2.4806  0.17556E+02  0.17556E+02  0.21750E-04  0.21585E+02  0.22198E-01  0.77424E+00  0.20789E+02  0.10000E+01
   10.6020   3.0300  16.0000   0.1752   2.4889  0.17521E+02  0.17521E+02  0.21937E-04  0.21504E+02  0.21723E-01  0.76245E+00  0.20720E+02  0.10000E+01
   10.6020   3.0400  16.0000   0.1760   2.4971  0.17486E+02  0.17486E+02  0.22175E-04  0.21424E+02  0.21256E-01  0.74955E+00  0.20654E+02  0.10000E+01
   10.6020   3.0500  16.0000   0.1768   2.5053  0.17451E+02  0.17451E+02  0.22412E-04  0.21347E+02  0.20799E-01  0.73981E+00  0.20587E+02  0.10000E+01
   10.6020   3.0600  16.0000   0.1776   2.5135  0.17416E+02  0.17416E+02  0.22650E-04  0.21268E+02  0.20350E-01  0.72748E+00  0.20520E+02  0.10000E+01
   10.6020   3.0700  16.0000   0.1784   2.5217  0.17381E+02  0.17381E+02  0.22889E-04  0.21190E+02  0.19912E-01  0.71680E+00  0.20453E+02  0.10000E+01
   10.6020   3.0800  16.0000   0.1792   2.5299  0.17346E+02  0.17346E+02  0.23127E-04  0.21113E+02  0.19485E-01  0.70548E+00  0.20388E+02  0.10000E+01
   10.6020   3.0900  16.0000   0.1801   2.5381  0.17312E+02  0.17312E+02  0.23129E-04  0.21044E+02  0.19066E-01  0.69416E+00  0.20331E+02  0.10000E+01
   10.6020   3.1000  16.0000   0.1809   2.5464  0.17277E+02  0.17277E+02  0.23368E-04  0.20975E+02  0.18657E-01  0.68294E+00  0.20274E+02  0.10000E+01
   10.6020   3.1100  16.0000   0.1817   2.5546  0.17243E+02  0.17243E+02  0.23607E-04  0.20902E+02  0.18255E-01  0.67324E+00  0.20210E+02  0.10000E+01
   10.6020   3.1200  16.0000   0.1825   2.5628  0.17208E+02  0.17208E+02  0.23846E-04  0.20827E+02  0.17861E-01  0.66244E+00  0.20147E+02  0.10000E+01
   10.6020   3.1300  16.0000   0.1834   2.5710  0.17174E+02  0.17174E+02  0.24086E-04  0.20752E+02  0.17478E-01  0.65293E+00  0.20081E+02  0.10000E+01
   10.6020   3.1400  16.0000   0.1842   2.5792  0.17140E+02  0.17140E+02  0.24089E-04  0.20669E+02  0.17101E-01  0.64252E+00  0.20009E+02  0.10000E+01
   10.6020   3.1500  16.0000   0.1850   2.5874  0.17106E+02  0.17106E+02  0.24329E-04  0.20593E+02  0.16732E-01  0.63223E+00  0.19944E+02  0.10000E+01
   10.6020   3.1600  16.0000   0.1859   2.5956  0.17072E+02  0.17072E+02  0.24532E-04  0.20520E+02  0.16372E-01  0.62330E+00  0.19880E+02  0.10000E+01
   10.6020   3.1700  16.0000   0.1867   2.6039  0.17038E+02  0.17038E+02  0.24736E-04  0.20447E+02  0.16018E-01  0.61418E+00  0.19816E+02  0.10000E+01
   10.6020   3.1800  16.0000   0.1875   2.6121  0.17004E+02  0.17004E+02  0.24939E-04  0.20374E+02  0.15674E-01  0.60446E+00  0.19754E+02  0.10000E+01
   10.6020   3.1900  16.0000   0.1884   2.6203  0.16970E+02  0.16970E+02  0.25143E-04  0.20302E+02  0.15337E-01  0.59559E+00  0.19691E+02  0.10000E+01
   10.6020   3.2000  16.0000   0.1892   2.6285  0.16937E+02  0.16937E+02  0.25348E-04  0.20240E+02  0.15009E-01  0.58639E+00  0.19638E+02  0.10000E+01
   10.6020   3.2100  16.0000   0.1901   2.6367  0.16903E+02  0.16903E+02  0.25352E-04  0.20167E+02  0.14683E-01  0.57784E+00  0.19575E+02  0.10000E+01
   10.6020   3.2200  16.0000   0.1909   2.6449  0.16869E+02  0.16869E+02  0.25557E-04  0.20090E+02  0.14366E-01  0.56920E+00  0.19507E+02  0.10000E+01
   10.6020   3.2300  16.0000   0.1918   2.6531  0.16836E+02  0.16836E+02  0.25762E-04  0.20020E+02  0.14056E-01  0.56103E+00  0.19445E+02  0.10000E+01
   10.6020   3.2400  16.0000   0.1926   2.6614  0.16802E+02  0.16802E+02  0.25968E-04  0.19950E+02  0.13753E-01  0.55114E+00  0.19385E+02  0.10000E+01
   10.6020   3.2500  16.0000   0.1935   2.6696  0.16769E+02  0.16769E+02  0.26173E-04  0.19879E+02  0.13454E-01  0.54282E+00  0.19323E+02  0.10000E+01
   10.6020   3.2600  16.0000   0.1944   2.6778  0.16735E+02  0.16735E+02  0.26380E-04  0.19811E+02  0.13168E-01  0.53484E+00  0.19263E+02  0.10000E+01
   10.6020   3.2700  16.0000   0.1952   2.6860  0.16702E+02  0.16702E+02  0.26386E-04  0.19742E+02  0.12879E-01  0.52701E+00  0.19202E+02  0.10000E+01
   10.6020   3.2800  16.0000   0.1961   2.6942  0.16669E+02  0.16669E+02  0.26655E-04  0.19673E+02  0.12601E-01  0.51904E+00  0.19141E+02  0.10000E+01
   10.6020   3.2900  16.0000   0.1969   2.7024  0.16636E+02  0.16636E+02  0.26925E-04  0.19605E+02  0.12331E-01  0.51085E+00  0.19082E+02  0.10000E+01
   10.6020   3.3000  16.0000   0.1978   2.7106  0.16602E+02  0.16602E+02  0.27195E-04  0.19537E+02  0.12064E-01  0.50296E+00  0.19022E+02  0.10000E+01
   10.6020   3.3100  16.0000   0.1987   2.7189  0.16569E+02  0.16569E+02  0.27465E-04  0.19469E+02  0.11804E-01  0.49566E+00  0.18961E+02  0.10000E+01
   10.6020   3.3200  16.0000   0.1996   2.7271  0.16536E+02  0.16536E+02  0.27736E-04  0.19401E+02  0.11549E-01  0.48816E+00  0.18901E+02  0.10000E+01
   10.6020   3.3300  16.0000   0.2004   2.7353  0.16503E+02  0.16503E+02  0.28008E-04  0.19334E+02  0.11298E-01  0.48111E+00  0.18841E+02  0.10000E+01
   10.6020   3.3400  16.0000   0.2013   2.7435  0.16470E+02  0.16470E+02  0.28016E-04  0.19267E+02  0.11053E-01  0.47367E+00  0.18782E+02  0.10000E+01
   10.6020   3.3500  16.0000   0.2022   2.7517  0.16437E+02  0.16437E+02  0.28288E-04  0.19201E+02  0.10815E-01  0.46672E+00  0.18724E+02  0.10000E+01
   10.6020   3.3600  16.0000   0.2031   2.7599  0.16404E+02  0.16404E+02  0.28561E-04  0.19135E+02  0.10580E-01  0.45974E+00  0.18665E+02  0.10000E+01
   10.6020   3.3700  16.0000   0.2040   2.7681  0.16371E+02  0.16371E+02  0.28834E-04  0.19069E+02  0.10351E-01  0.45263E+00  0.18606E+02  0.10000E+01
   10.6020   3.3800  16.0000   0.2049   2.7764  0.16339E+02  0.16339E+02  0.29107E-04  0.19004E+02  0.10126E-01  0.44617E+00  0.18548E+02  0.10000E+01
   10.6020   3.3900  16.0000   0.2058   2.7846  0.16306E+02  0.16306E+02  0.29368E-04  0.18939E+02  0.99074E-02  0.43941E+00  0.18490E+02  0.10000E+01
   10.6020   3.4000  16.0000   0.2066   2.7928  0.16273E+02  0.16273E+02  0.29630E-04  0.18875E+02  0.96927E-02  0.43320E+00  0.18432E+02  0.10000E+01
   10.6020   3.4100  16.0000   0.2075   2.8010  0.16240E+02  0.16240E+02  0.29892E-04  0.18811E+02  0.94824E-02  0.42675E+00  0.18374E+02  0.10000E+01
   10.6020   3.4200  16.0000   0.2084   2.8092  0.16207E+02  0.16207E+02  0.30155E-04  0.18746E+02  0.92768E-02  0.42007E+00  0.18316E+02  0.10000E+01
   10.6020   3.4300  16.0000   0.2093   2.8174  0.16175E+02  0.16175E+02  0.30418E-04  0.18685E+02  0.90761E-02  0.41458E+00  0.18261E+02  0.10000E+01
   10.6020   3.4400  16.0000   0.2102   2.8256  0.16142E+02  0.16142E+02  0.30430E-04  0.18619E+02  0.88789E-02  0.40714E+00  0.18203E+02  0.10000E+01
   10.6020   3.4500  16.0000   0.2111   2.8339  0.16109E+02  0.16109E+02  0.30694E-04  0.18554E+02  0.86865E-02  0.40148E+00  0.18144E+02  0.10000E+01
   10.6020   3.4600  16.0000   0.2121   2.8421  0.16077E+02  0.16077E+02  0.30958E-04  0.18492E+02  0.84987E-02  0.39597E+00  0.18088E+02  0.10000E+01
   10.6020   3.4700  16.0000   0.2130   2.8503  0.16044E+02  0.16044E+02  0.31223E-04  0.18429E+02  0.83145E-02  0.38971E+00  0.18031E+02  0.10000E+01
   10.6020   3.4800  16.0000   0.2139   2.8585  0.16012E+02  0.16011E+02  0.31489E-04  0.18367E+02  0.81338E-02  0.38390E+00  0.17975E+02  0.10000E+01
   10.6020   3.4900  16.0000   0.2148   2.8667  0.15979E+02  0.15979E+02  0.31755E-04  0.18305E+02  0.79573E-02  0.37883E+00  0.17918E+02  0.10000E+01
   10.6020   3.5000  16.0000   0.2157   2.8749  0.15946E+02  0.15946E+02  0.32072E-04  0.18240E+02  0.77842E-02  0.37256E+00  0.17860E+02  0.10000E+01
   10.6020   3.5100  16.0000   0.2166   2.8831  0.15914E+02  0.15914E+02  0.32389E-04  0.18179E+02  0.76146E-02  0.36737E+00  0.17804E+02  0.10000E+01
   10.6020   3.5200  16.0000   0.2176   2.8914  0.15881E+02  0.15881E+02  0.32708E-04  0.18118E+02  0.74489E-02  0.36190E+00  0.17749E+02  0.10000E+01
   10.6020   3.5300  16.0000   0.2185   2.8996  0.15849E+02  0.15849E+02  0.33026E-04  0.18064E+02  0.72871E-02  0.35663E+00  0.17700E+02  0.10000E+01
   10.6020   3.5400  16.0000   0.2194   2.9078  0.15816E+02  0.15816E+02  0.33346E-04  0.17994E+02  0.71286E-02  0.35123E+00  0.17636E+02  0.10000E+01
   10.6020   3.5500  16.0000   0.2203   2.9160  0.15784E+02  0.15784E+02  0.33666E-04  0.17933E+02  0.69745E-02  0.34551E+00  0.17581E+02  0.10000E+01
   10.6020   3.5600  16.0000   0.2213   2.9242  0.15751E+02  0.15751E+02  0.33986E-04  0.17873E+02  0.68226E-02  0.34111E+00  0.17525E+02  0.10000E+01
   10.6020   3.5700  16.0000   0.2222   2.9324  0.15719E+02  0.15719E+02  0.34307E-04  0.17812E+02  0.66725E-02  0.33656E+00  0.17469E+02  0.10000E+01
   10.6020   3.5800  16.0000   0.2232   2.9406  0.15686E+02  0.15686E+02  0.34629E-04  0.17752E+02  0.65270E-02  0.33113E+00  0.17414E+02  0.10000E+01
   10.6020   3.5900  16.0000   0.2241   2.9489  0.15654E+02  0.15654E+02  0.34952E-04  0.17690E+02  0.63849E-02  0.32591E+00  0.17358E+02  0.10000E+01
   10.6020   3.6000  16.0000   0.2250   2.9571  0.15621E+02  0.15621E+02  0.35262E-04  0.17631E+02  0.62455E-02  0.32159E+00  0.17304E+02  0.10000E+01
   10.6020   3.6100  16.0000   0.2260   2.9653  0.15589E+02  0.15589E+02  0.35573E-04  0.17572E+02  0.61093E-02  0.31673E+00  0.17249E+02  0.10000E+01
   10.6020   3.6200  16.0000   0.2269   2.9735  0.15556E+02  0.15556E+02  0.35885E-04  0.17513E+02  0.59762E-02  0.31246E+00  0.17195E+02  0.10000E+01
   10.6020   3.6300  16.0000   0.2279   2.9817  0.15523E+02  0.15523E+02  0.36198E-04  0.17453E+02  0.58458E-02  0.30771E+00  0.17139E+02  0.10000E+01
   10.6020   3.6400  16.0000   0.2289   2.9899  0.15491E+02  0.15491E+02  0.36511E-04  0.17394E+02  0.57182E-02  0.30314E+00  0.17085E+02  0.10000E+01
   10.6020   3.6500  16.0000   0.2298   2.9981  0.15458E+02  0.15458E+02  0.36532E-04  0.17335E+02  0.55931E-02  0.29848E+00  0.17031E+02  0.10000E+01
   10.6020   3.6600  16.0000   0.2308   3.0064  0.15426E+02  0.15426E+02  0.36847E-04  0.17276E+02  0.54707E-02  0.29461E+00  0.16976E+02  0.10000E+01
