A_h,E_h,Ep,theta,xsect_h,xsect_e_h,xsect_d,xsect_e_d
1,10.602,2.765,32.975,0.099982038,0.00217871,0.073957622,0.001604974
1,10.602,2.785,32.975,0.094826187,0.002077978,0.070637377,0.001532184
1,10.602,2.805,32.975,0.090647567,0.001983043,0.066853303,0.001455229
1,10.602,2.825,32.975,0.08729788,0.001921379,0.063541374,0.00139478
1,10.602,2.845,32.975,0.082027554,0.001820897,0.059978672,0.001325214
1,10.602,2.865,32.975,0.079898165,0.001774364,0.057288994,0.0012675
1,10.602,2.885,32.975,0.075496424,0.001689948,0.053538635,0.001192915
1,10.602,2.905,32.975,0.071227721,0.001610081,0.051551949,0.001160078
1,10.602,2.925,32.975,0.067386849,0.001535095,0.048477234,0.001100104
1,10.602,2.945,32.975,0.063298735,0.001442015,0.045204905,0.001025572
1,10.602,2.965,32.975,0.06121559,0.001405731,0.044298613,0.001012737
1,10.602,2.985,32.975,0.057261302,0.00133471,0.041048781,0.00095214
1,10.602,3.005,32.975,0.053330398,0.001244401,0.03842596,0.000890808
1,10.602,3.025,32.975,0.050921359,0.001203353,0.0368474,0.000865078
1,10.602,3.045,32.975,0.047192757,0.001131156,0.034571947,0.000822634
1,10.602,3.065,32.975,0.044424692,0.001080506,0.031324908,0.000758656
1,10.602,3.085,32.975,0.042613106,0.001041439,0.030722111,0.000745884
1,10.602,2.405,21.035,3.446273553,0.085573763,2.88193033,0.070561076
1,10.602,2.425,21.035,3.401161412,0.083760992,2.809259356,0.068210497
1,10.602,2.445,21.035,3.355180958,0.081927363,2.808693877,0.067809368
1,10.602,2.465,21.035,3.330380072,0.080932293,2.748002559,0.065843607
1,10.602,2.485,21.035,3.254654173,0.078725306,2.76863418,0.066092881
1,10.602,2.505,21.035,3.243922572,0.078056652,2.734163224,0.065088342
1,10.602,2.525,21.035,3.18420244,0.076537036,2.765492627,0.06529406
1,10.602,2.545,21.035,3.194899228,0.076541224,2.734475563,0.064308235
